siteengname	SO2 Average 	Maximum	X	Y	Months 	  Month/Year
Puzi	2	5.1	120.2478	23.46538	2	
Taixi	3.23	14.1	120.1993333	23.702175	2	
Chiayi	2.48	16.1	120.4412515	23.46477865	2	
Xinying	3.22	10.4	120.31725	23.305633	2	
Shanhua			120.2974053	23.11337642	2	
Annan	1.82	6.2	120.2175	23.048197	2	
Tainan	2.3	9.1	120.22085	22.99123	2	
Meinong	2.25	7.9	120.530542	22.883583	2	
Qiaotou	2.33	30.5	120.305689	22.757506	2	
Renwu	2.46	13.1	120.332631	22.689056	2	
Fengshan	2.11	16.8	120.357422	22.628126	2	
Daliao	2.37	6	120.425311	22.56413611	2	
Linyuan	2.35	6.1	120.41175	22.4795	2	
Nanzi	2.02	4.6	120.328289	22.733667	2	
Zuoying	2.5	7.3	120.292917	22.674861	2	
Qianjin	2.78	8.4	120.2867611	22.63390278	2	
Qianzhen	2.87	16.9	120.3083336	22.6044507	2	
Xiaogang	1.5	5	120.337736	22.565833	2	
Pingtung	2.96	10.1	120.488033	22.673081	2	
Chaozhou	2.33	5.93	120.561175	22.523108	2	
Hengchun	2.18	8.5	120.788928	21.958069	2	
Taitung	2.53	10.1	121.15045	22.755358	2	
Hualien	2.97	15.8	121.599769	23.971306	2	
Yangming	3.96	55	121.529583	25.182722	2	
Yilan	3.11	23.3	121.746394	24.747917	2	
Dongshan	2.36	10.5	121.792928	24.632203	2	
Sanchong	2.65	14.6	121.493806	25.072611	2	
Zhongli	3.32	21.6	121.221667	24.953278	2	
Zhushan	1.99	11.2	120.677306	23.756389	2	
Yonghe		2.4	121.516306	25.017	2	
Fuxing	1.77	12	120.312017	22.608711	2	
Puli	2.1	19.9	120.967903	23.968842	2	
Matsu	1.52	5.7	119.9314938	26.15188416	2	
Kinmen	1.18	8.3	118.312256	24.432133	2	
Magong	1.24	3.7	119.566158	23.569031	2	
Guanshan	1.15	10.9	121.161933	23.045083	2	
Mailiao	1.58	5.2	120.251825	23.753506	2	
FugueiCape	1.88	8.1	121.5365689	25.29681695	2	
Dacheng	1.47	4.4	120.2696417	23.85493056	2	
Keelung	1.41	11.6	121.760056	25.129167	3	March
Xizhi	1.36	5.7	121.64081	25.06624	3	
Wanli	1.94	10.6	121.689881	25.179667	3	
Xindian	1.69	8.3	121.537778	24.977222	3	
Tucheng	2.5	52.2	121.451861	24.982528	3	
Banqiao	1.95	9.9	121.458667	25.012972	3	
Xinzhuang	1.55	7.2	121.4325	25.037972	3	
Cailiao	1.87	9.1	121.481028	25.06895	3	
Linkou	2.02	10.8	121.3654898	25.07798949	3	
Tamsui	1.77	6.2	121.449239	25.1645	3	
Shilin	2.12	14.8	121.5166636	25.10334003	3	
Zhongshan	1.86	6.4	121.526528	25.062361	3	
Wanhua	2.49	6.81	121.507972	25.046503	3	
Guting	2.22	7.2	121.529556	25.020608	3	
Songshan	1.76	4.8	121.578611	25.05	3	
Datong	2.43	13.1	121.5134207	25.06331455	3	
Taoyuan	1.6	6.7	121.3050053	24.9947107	3	
Dayuan	1.84	6.3	121.2025147	25.06100357	3	
Guanyin	1.62	6.2	121.0828309	25.03556747	3	
Pingzhen	0.45	2.7	121.203986	24.952786	3	
Longtan	3.08	22.6	121.2164577	24.86400048	3	
Hukou	3.37	13.8	121.0388689	24.90009696	3	
Zhudong	2.33	5.9	121.0889549	24.74091408	3	
Hsinchu	3.32	16.3	120.9723675	24.8056356	3	
Toufen	2.27	6.5	120.8986929	24.69690679	3	
Miaoli	2.28	6	120.8201147	24.56499183	3	
Sanyi	1.94	5.3	120.7595675	24.38248443	3	
Fengyuan	1.93	4.6	120.7425241	24.25699731	3	
Shalu	1.61	4	120.568794	24.225628	3	
Dali	1.95	5.9	120.6784444	24.09961111	3	
Zhongming	1.98	5.8	120.641092	24.151958	3	
Xitun	1.05	11.2	120.616917	24.162197	3	
Changhua	1.67	5.3	120.541519	24.066	3	
Xianxi	2.33	17.3	120.469061	24.131672	3	
Erlin	2.77	11.4	120.409653	23.925175	3	
Nantou	1.89	10.1	120.685306	23.913	3	
Douliu	2.08	11.2	120.544994	23.711853	3	
Lunbei	1.95	9.7	120.348742	23.757547	3	
Xingang	2.01	6.7	120.345531	23.554839	3	
Puzi	2.07	4.3	120.2478	23.46538	3	
Taixi	3.12	9.3	120.1993333	23.702175	3	
Chiayi	2.15	9.5	120.4412515	23.46477865	3	
Xinying	3.34	11.9	120.31725	23.305633	3	
Shanhua			120.2974053	23.11337642	3	
Annan	2.08	6.4	120.2175	23.048197	3	
Tainan	2.2	17.4	120.22085	22.99123	3	
Meinong	2.22	8.5	120.530542	22.883583	3	
Qiaotou	2.34	8.8	120.305689	22.757506	3	
Renwu	2.58	17.7	120.332631	22.689056	3	
Fengshan	2.21	24.3	120.357422	22.628126	3	
Daliao	2.29	7.1	120.425311	22.56413611	3	
Linyuan	2.33	6.4	120.41175	22.4795	3	
Nanzi	2.16	5.8	120.328289	22.733667	3	
Zuoying	2.46	7.2	120.292917	22.674861	3	
Qianjin	3	8.7	120.2867611	22.63390278	3	
Qianzhen	2.88	14.1	120.3083336	22.6044507	3	
Xiaogang	1.81	5.5	120.337736	22.565833	3	
Pingtung	2.94	12.9	120.488033	22.673081	3	
Chaozhou	2.47	8.07	120.561175	22.523108	3	
Hengchun	2.25	19.2	120.788928	21.958069	3	
Taitung	2.79	9.6	121.15045	22.755358	3	
Hualien	3.08	12.8	121.599769	23.971306	3	
Yangming	4.64	35.4	121.529583	25.182722	3	
Yilan	3.25	23	121.746394	24.747917	3	
Dongshan	2.5	10.4	121.792928	24.632203	3	
Sanchong	2.63	14.3	121.493806	25.072611	3	
Zhongli	3.04	16.2	121.221667	24.953278	3	
Zhushan	2.29	12.3	120.677306	23.756389	3	
Yonghe	0.59	3.5	121.516306	25.017	3	
Fuxing	1.85	9.4	120.312017	22.608711	3	
Puli	2.18	15.3	120.967903	23.968842	3	
Matsu	1.45	4.4	119.9314938	26.15188416	3	
Kinmen	1.2	5.3	118.312256	24.432133	3	
Magong	1.12	2.1	119.566158	23.569031	3	
Guanshan	1.1	2	121.161933	23.045083	3	
Mailiao	1.58	4.6	120.251825	23.753506	3	
FugueiCape	2.46	9.7	121.5365689	25.29681695	3	
Dacheng	1.65	5.6	120.2696417	23.85493056	3	
Keelung	1.56	5.7	121.760056	25.129167	4	April
Xizhi	1.41	4.8	121.64081	25.06624	4	
Wanli	1.56	6.4	121.689881	25.179667	4	
Xindian	1.92	16.9	121.537778	24.977222	4	
Tucheng	2.19	6.3	121.451861	24.982528	4	
Banqiao	1.68	6.1	121.458667	25.012972	4	
Xinzhuang	1.32	4.9	121.4325	25.037972	4	
Cailiao	1.99	19.5	121.481028	25.06895	4	
Linkou	1.93	6.4	121.3654898	25.07798949	4	
Tamsui	1.67	6.4	121.449239	25.1645	4	
Shilin	2.12	9.9	121.5166636	25.10334003	4	
Zhongshan	1.72	5.4	121.526528	25.062361	4	
Wanhua	2.28	6.24	121.507972	25.046503	4	
Guting	1.8	6.5	121.529556	25.020608	4	
Songshan	1.54	4.7	121.578611	25.05	4	
Datong	1.98	6.6	121.5134207	25.06331455	4	
Taoyuan	1.52	7.4	121.3050053	24.9947107	4	
Dayuan	1.81	4.9	121.2025147	25.06100357	4	
Guanyin	1.75	7.1	121.0828309	25.03556747	4	
Pingzhen	0.44	4.6	121.203986	24.952786	4	
Longtan	2.85	12.4	121.2164577	24.86400048	4	
Hukou	3.48	24.5	121.0388689	24.90009696	4	
Zhudong	2.27	4.8	121.0889549	24.74091408	4	
